timesteps,stage_timesteps,reward_mean,episode_len_mean,stage,reward_smooth,episode_len_smooth
446464.0,446464.0,24.209999999999997,32.02,Treino 5x5,24.178888888888892,31.991111111111113
448512.0,448512.0,23.926999999999992,32.12,Treino 5x5,24.083444444444442,32.166666666666664
450560.0,450560.0,23.730999999999995,32.89,Treino 5x5,24.092888888888883,32.15222222222222
452608.0,452608.0,24.602000000000004,31.35,Treino 5x5,24.069111111111113,32.22666666666667
454656.0,454656.0,24.464,31.4,Treino 5x5,24.005555555555556,32.34444444444444
456704.0,456704.0,24.484,30.67,Treino 5x5,24.013333333333332,32.24777777777778
458752.0,458752.0,25.958,27.89,Treino 5x5,24.354,31.48222222222222
460800.0,460800.0,25.504,28.95,Treino 5x5,24.51311111111111,31.11444444444444
462848.0,462848.0,23.739999999999995,32.53,Treino 5x5,24.513333333333332,31.09111111111111
464896.0,464896.0,24.594999999999995,30.93,Treino 5x5,24.556111111111107,30.970000000000002
466944.0,466944.0,24.841999999999995,30.55,Treino 5x5,24.657777777777774,30.79555555555556
468992.0,468992.0,24.792,30.74,Treino 5x5,24.775666666666663,30.556666666666665
471040.0,471040.0,24.844,30.78,Treino 5x5,24.802555555555553,30.493333333333332
473088.0,473088.0,24.533999999999995,31.49,Treino 5x5,24.810333333333332,30.503333333333337
475136.0,475136.0,25.204000000000004,29.92,Treino 5x5,24.890333333333334,30.42
477184.0,477184.0,24.872,30.74,Treino 5x5,24.769666666666666,30.736666666666665
479232.0,479232.0,23.711999999999996,33.4,Treino 5x5,24.57055555555555,31.231111111111108
481280.0,481280.0,24.268,31.37,Treino 5x5,24.62922222222222,31.102222222222224
483328.0,483328.0,24.434,31.19,Treino 5x5,24.611333333333334,31.13111111111111
485376.0,485376.0,25.869999999999997,28.37,Treino 5x5,24.725555555555555,30.88888888888889
487424.0,487424.0,25.606,28.96,Treino 5x5,24.816,30.691111111111113
489472.0,489472.0,24.006000000000007,32.9,Treino 5x5,24.72288888888889,30.92666666666667
491520.0,491520.0,24.96,30.62,Treino 5x5,24.770222222222223,30.83
493568.0,493568.0,25.524,29.22,Treino 5x5,24.805777777777777,30.75222222222222
495616.0,495616.0,25.451999999999995,29.42,Treino 5x5,24.87022222222222,30.605555555555554
497664.0,497664.0,23.611000000000004,33.35,Treino 5x5,24.859,30.600000000000005
499712.0,499712.0,22.982,34.0,Treino 5x5,24.716111111111115,30.892222222222227
501760.0,501760.0,25.123999999999995,30.17,Treino 5x5,24.79277777777778,30.778888888888886
